hum_symbol	type	mean_norm_genes_log	sd_norm_genes_log
ACTR2	cntl	12.0485303648679	1.49761221886374
ACTR3	cntl	11.9868387204732	1.55189472810649
ADAR	ISG	11.3137985288245	1.71484561813853
AMFR	cntl	11.2132385847759	2.10986059051417
AP2B1	cntl	11.9734629573786	1.30544640941937
ARCN1	cntl	11.7588232733138	1.13892877793922
ARPC2	cntl	12.2612976514755	1.31247336488638
ATP1A1	cntl	12.5883689230566	2.77435485601535
ATP5F1A	cntl	13.5349768148711	1.41804308754343
ATP5F1B	cntl	13.586581548179	1.90641308234954
AZI2	ISG	8.44634616735501	3.15070143556773
B2M	ISG	13.6815565841299	3.08409822714523
CAPRIN1	cntl	11.7826465143444	2.20300864079454
CAPZB	cntl	11.605080155692	1.37322082454308
CD274	ISG	10.0804725718684	2.98287662813715
CD47	ISG	11.8349875080385	1.74473437714706
CDC37	cntl	11.2455198238077	1.4960717540501
CHD4	cntl	11.8810015461432	1.82104280930995
CLTC	cntl	12.6240932022172	1.84198655811015
CMPK2	ISG	8.51604904220237	2.42964033699188
CMTR1	ISG	10.2271730039276	1.98342300221682
CNBP	cntl	13.066335243969	0.98631612068667
COPA	cntl	11.8666781545573	1.32371196786801
COPB1	cntl	10.7283904551096	1.93096121281028
COPB2	cntl	11.4728270817905	1.3143890634332
COPE	cntl	10.6393205486796	2.06326688049831
COPG1	cntl	11.3403659933007	1.48261440316884
CSNK1A1	cntl	12.6565342720913	1.02575314601979
CTNNB1	cntl	12.6825520646055	1.29421959973796
DCTN1	cntl	11.3715456342905	1.87023916306753
DCTN2	cntl	11.1072599635168	1.45513387344866
DDOST	cntl	11.5184801692042	1.38869347174927
DDX17	cntl	12.9814143306477	1.55445667065387
DDX3X	cntl	12.850611759952	1.75663489459539
DDX5	cntl	13.6114078116321	1.72465953123367
DHX58	ISG	8.16511402194849	2.33649498704055
DNAJC13	ISG	10.3117742111955	1.9084576294362
DTX3L	ISG	10.4083595271697	2.47511567642377
EEF1A1	cntl	16.4251715724312	1.61948348477946
EEF1G	cntl	13.105953441924	2.08451752854392
EEF2	cntl	14.6269466362765	1.59743743004337
EIF1	cntl	12.8153742799365	1.30775132755167
EIF3A	cntl	12.3453505558938	1.23069773867721
EIF3B	cntl	11.3821365927966	1.42555939359145
EIF3H	cntl	11.5551525174839	1.38350058170984
EIF3I	cntl	11.320503837654	1.36383999046952
EIF4G1	cntl	12.0520648797155	2.35181716080375
EIF4G2	cntl	13.7315487961595	1.95228038112741
EIF4G3	cntl	11.5890616882661	1.73590768278163
EIF4H	cntl	12.1116965187863	1.56969779541136
EIF5	cntl	12.4558223227728	1.75736310822803
